Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Search_Result_Page_OR/ShowAllAttribute_button""), ""Hide all attributes"")",Chrome 95.0.4638.54,,,2021-10-28 16:32:58,2021-10-28 16:33:00,1.756s,PASSED
"verifyElementVisible(findTestObject(""Search_Result_Page_OR/Attribute_Table_location""), STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:33:00,2021-10-28 16:33:00,0.386s,PASSED
"verifyElementAttributeValue(findTestObject(""Search_Result_Page_OR/Product_attribute_location""), ""data-caption"", ""Product(s):"", 20)",Chrome 95.0.4638.54,,,2021-10-28 16:33:00,2021-10-28 16:33:01,0.397s,PASSED
"click(findTestObject(""Search_Result_Page_OR/ShowAllAttribute_button""))",Chrome 95.0.4638.54,,,2021-10-28 16:33:01,2021-10-28 16:33:01,0.441s,PASSED
"verifyElementText(findTestObject(""Search_Result_Page_OR/ShowAllAttribute_button""), ""Show all attributes"")",Chrome 95.0.4638.54,,,2021-10-28 16:33:01,2021-10-28 16:33:02,0.511s,PASSED
"verifyElementNotVisible(findTestObject(""Search_Result_Page_OR/Attribute_Table_location""), STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:33:02,2021-10-28 16:33:02,0.366s,PASSED
,,,,,,,
Test Cases/TestCase_4_Search_Functionality/5_Verify_Results_Per_Page,Chrome 95.0.4638.54,,,2021-10-28 16:33:02,2021-10-28 16:33:46,44.150s,PASSED
"callTestCase(findTestCase(""TestCase_1_Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:33:02,2021-10-28 16:33:30,27.744s,PASSED
"setText(findTestObject(""Searchbar_OR/Searchbar_position""), ""product manuals"")",Chrome 95.0.4638.54,,,2021-10-28 16:33:30,2021-10-28 16:33:31,0.828s,PASSED
"sendKeys(findTestObject(""Searchbar_OR/Searchbar_position""), Keys.chord(ENTER))",Chrome 95.0.4638.54,,,2021-10-28 16:33:31,2021-10-28 16:33:33,2.373s,PASSED
"waitForElementVisible(findTestObject(""Search_Result_Page_OR/Search_Area""), 5)",Chrome 95.0.4638.54,,,2021-10-28 16:33:33,2021-10-28 16:33:38,4.511s,PASSED
"verifyElementVisible(findTestObject(""Search_Result_Page_OR/Results_Per_Page_location""), STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:33:38,2021-10-28 16:33:38,0.402s,PASSED
"resultNumber = [""10"", ""25"", ""50"", ""100""]",Chrome 95.0.4638.54,,,2021-10-28 16:33:38,2021-10-28 16:33:38,0.000s,PASSED
"actualNumber = [getText(findTestObject(""Search_Result_Page_OR/Result_Number/Result_Number_10"")), getText(findTestObject(""Search_Result_Page_OR/Result_Number/Result_Number_25"")), getText(findTestObject(""Search_Result_Page_OR/Result_Number/Result_Number_50"")), getText(findTestObject(""Search_Result_Page_OR/Result_Number/Result_Number_100""))]",Chrome 95.0.4638.54,,,2021-10-28 16:33:38,2021-10-28 16:33:40,1.510s,PASSED
"for ([i = 0, i <= 3, (i++)])",Chrome 95.0.4638.54,,,2021-10-28 16:33:40,2021-10-28 16:33:40,0.005s,PASSED
"verifyElementAttributeValue(findTestObject(""Search_Result_Page_OR/Result_Number/Default_number_location""), ""aria-checked"", ""true"", 10)",Chrome 95.0.4638.54,,,2021-10-28 16:33:40,2021-10-28 16:33:40,0.390s,PASSED
